"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"PAE",98.098,"H","S1",0,0,"0_ance",302,1
"PAE",145.703,"H","S1",1,2,"0_gir4",266,1
"PAE",265.409,"H","S1",2,1,"2_lugal","LUGAL",1
"PAE",239.628,"H","P1",0,13,"0_cudun3",283,0
"PAE",132.766,"H","P1",1,9,"0_gur","LAGAR",1
"PAE",99.011,"H","P1",2,1,"0_kac4","GIG",0
"PAE",83.926,"H","P1",3,10,"0_kiri6","SAR",1
"PAE",154.941,"H","P1",4,5,"0_nita2","ARAD",1
"PAE",219.447,"H","P1",5,0,"0_sig2+munus",63,0
"PAE",70.486,"H","P1",6,3,"0_ziz2",241,1
"PAE",187.606,"H","P1",7,8,"1_gag",152,0
"PAE",64.416,"H","P1",8,14,"1_tur",237,1
"PAE",34.326,"H","P1",9,11,"2_dugud",267,1
"PAE",124.132,"H","P1",10,2,"2_gada","URU",0
"PAE",63.917,"H","P1",11,6,"2_gir3",301,1
"PAE",98.125,"H","P1",12,12,"2_nag","SANGA",1
"PAE",50.761,"H","P1",13,15,"3_mac2",38,1
"PAE",54.159,"H","P1",14,4,"3_sa5","LAMMA",1
"PAE",62.297,"H","P1",15,7,"4_6",362,1
"PAE",243.368,"Z","S2",0,0,"0_ejir","ITI",0
"PAE",79.988,"Z","S2",1,2,"0_ku7","AL",1
"PAE",239.645,"Z","S2",2,1,"2_siskur","SISKUR",1
"PAE",112.197,"Z","P2",0,10,"0_ca3","CA2",1
"PAE",103.007,"Z","P2",1,6,"0_dam","EREC",0
"PAE",285.707,"Z","P2",2,8,"0_hub","GIDIM",1
"PAE",193.663,"Z","P2",3,5,"0_kid","UGA",1
"PAE",142.468,"Z","P2",4,14,"0_pu2","PAN",0
"PAE",350.017,"Z","P2",5,1,"0_sanga","SANGA",1
"PAE",339.533,"Z","P2",6,2,"0_sipa","SIPA",1
"PAE",185.018,"Z","P2",7,11,"1_ama","GIDIM",0
"PAE",104.2,"Z","P2",8,9,"1_gal","DAG",0
"PAE",139.391,"Z","P2",9,7,"2_alam","GA2R",0
"PAE",80.162,"Z","P2",10,4,"2_duh","GABA",1
"PAE",135.351,"Z","P2",11,13,"2_gig","GIG",1
"PAE",132.909,"Z","P2",12,3,"2_urudu","DUB",1
"PAE",194.871,"Z","P2",13,0,"3_inanna","TAR",0
"PAE",828.416,"Z","P2",14,12,"3_sir3","BA2D",1
"PAE",185.417,"Z","P2",15,15,"4_tu7","NAM",1
