"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"PB2",183.45,"H","S1",0,1,"0_gir4","GIR₄",1
"PB2",336.397,"H","S1",1,2,"2_lugal","LUGAL",1
"PB2",245.118,"H","S1",2,0,"0_ance","ANŠE",1
"PB2",733.451,"H","P2",0,9,"2_alam","ALAM/ALAN",1
"PB2",127,"H","P2",1,10,"2_duh","DU₈/DUḪ",1
"PB2",80.404,"H","P2",2,4,"0_pu2","GÍGIR",1
"PB2",162.559,"H","P2",3,14,"3_sir3","KA",1
"PB2",257.581,"H","P2",4,13,"3_inanna","SÌL(A)",0
"PB2",376.299,"H","P2",5,7,"1_ama","AMA",1
"PB2",422.726,"H","P2",6,15,"4_tu7","TU₇",1
"PB2",206.571,"H","P2",7,6,"0_sipa","SIPA(D)",1
"PB2",181.222,"H","P2",8,2,"0_hub","NITA(Ḫ)",0
"PB2",38.746,"H","P2",9,8,"1_gal","GAL",1
"PB2",48.652,"H","P2",10,3,"0_kid","MÁ",0
"PB2",112.695,"H","P2",11,5,"0_sanga","SANGA",1
"PB2",102.223,"H","P2",12,11,"2_gig","GIG",1
"PB2",177.917,"H","P2",13,1,"0_dam","DAM",1
"PB2",91.54,"H","P2",14,0,"0_ca3","ŠÀ/ŠAG₄",1
"PB2",40.015,"H","P2",15,12,"2_urudu","AB",1
"PB2",623.522,"Z","S2",0,2,"2_siskur","SISKUR",1
"PB2",284.028,"Z","S2",1,0,"0_ejir","EGIR",1
"PB2",215.086,"Z","S2",2,1,"0_ku7","GIŠ",0
"PB2",207.45,"Z","P1",0,10,"2_gada","BÁN, BAR, MAŠ",0
"PB2",131.65,"Z","P1",1,1,"0_gur","GUR",1
"PB2",136.971,"Z","P1",2,15,"4_6","ME",0
"PB2",934.277,"Z","P1",3,14,"3_sa5","KAL",1
"PB2",78.646,"Z","P1",4,9,"2_dugud","MI",1
"PB2",242.944,"Z","P1",5,12,"2_nag","EREN",0
"PB2",348.96,"Z","P1",6,2,"0_kac4","KAŠ4",1
"PB2",363.054,"Z","P1",7,0,"0_cudun3","ŠÙDUL",1
"PB2",135.391,"Z","P1",8,4,"0_nita2","ARAD",1
"PB2",138.536,"Z","P1",9,6,"0_ziz2","ZÍZ",1
"PB2",114.407,"Z","P1",10,3,"0_kiri6","KIRI6",1
"PB2",161.996,"Z","P1",11,7,"1_gag","GAG",1
"PB2",120.78,"Z","P1",12,8,"1_tur","TUR",1
"PB2",203.852,"Z","P1",13,13,"3_mac2","TI",1
"PB2",204.557,"Z","P1",14,11,"2_gir3","GÌR",1
"PB2",633.422,"Z","P1",15,5,"0_sig2+munus","SÍG + MUNUS",1
