"Subject","Duration","System","List","Index","Which","Name","Result","Accuracy"
"PBE",15.688,"H","S1",0,2,"0_ance","ANCE",1
"PBE",25.373,"H","S1",1,1,"0_gir4","GIR4",1
"PBE",93.545,"H","S1",2,0,"2_lugal","LU2",0
"PBE",11.001,"H","P2",0,14,"0_ca3","CAG4",1
"PBE",15.51,"H","P2",1,0,"0_dam","DAM",1
"PBE",38.926,"H","P2",2,8,"0_hub","HUB",1
"PBE",23.146,"H","P2",3,12,"0_kid","LIL2",1
"PBE",18.996,"H","P2",4,1,"0_pu2","GIGIR2",1
"PBE",30.345,"H","P2",5,7,"0_sanga","SANGA",1
"PBE",25.213,"H","P2",6,15,"0_sipa","SIPAD",1
"PBE",30.952,"H","P2",7,4,"1_ama","AMA",1
"PBE",13.802,"H","P2",8,11,"1_gal","GAL",1
"PBE",21.285,"H","P2",9,10,"2_alam","ALAM",1
"PBE",15.213,"H","P2",10,2,"2_duh","DUH",1
"PBE",33.561,"H","P2",11,6,"2_gig","GIG",1
"PBE",29.566,"H","P2",12,13,"2_urudu","URUDU",1
"PBE",23.41,"H","P2",13,5,"3_inanna","INANNA",1
"PBE",57.832,"H","P2",14,9,"3_sir3","SIR3",1
"PBE",35.114,"H","P2",15,3,"4_tu7","NINNU",1
"PBE",123.339,"Z","S2",0,1,"0_ejir","BALAG",0
"PBE",110.633,"Z","S2",1,2,"0_ku7","KU7",1
"PBE",111.552,"Z","S2",2,0,"2_siskur","SISKUR",1
"PBE",127.998,"Z","P1",0,0,"0_cudun3","HUB",0
"PBE",50.56,"Z","P1",1,11,"0_gur","GUR",1
"PBE",119.495,"Z","P1",2,12,"0_kac4","KAC4",1
"PBE",49.005,"Z","P1",3,15,"0_kiri6","CAR",1
"PBE",34.586,"Z","P1",4,5,"0_nita2","ARAD",1
"PBE",299.513,"Z","P1",5,7,"0_sig2+munus","SÍG+MUNUS",1
"PBE",137.6,"Z","P1",6,6,"0_ziz2","ZIZ2",1
"PBE",90.867,"Z","P1",7,3,"1_gag","GAG",1
"PBE",63.555,"Z","P1",8,9,"1_tur","TUR",1
"PBE",51.16,"Z","P1",9,1,"2_dugud","DUGUD",1
"PBE",126.221,"Z","P1",10,2,"2_gada","GADA",1
"PBE",55.567,"Z","P1",11,14,"2_gir3","GIR3",1
"PBE",57.529,"Z","P1",12,4,"2_nag","NAG",1
"PBE",154.003,"Z","P1",13,8,"3_mac2","MAC2",1
"PBE",90.721,"Z","P1",14,13,"3_sa5","DIRI",1
"PBE",83.872,"Z","P1",15,10,"4_6","IA2",1
