NAGGA	AN.NA
MÁŠDA	MAŠ.EN.GAG
MAŠDA2	MAŠ.EN.GAG
SAGI	SÌLA.ŠU.DUḪ
ENSI	EN.ME.LI
USDUḪA	U8.LU.ḪI.A
GÉŠBU	ŠU.BÙLUG
GEŠBU2	ŠU.BÙLUG
GÉŠPU	ŠU.BÙLUG
GEŠPU2	ŠU.BÙLUG
AZAG	KUG.AN
GUŠKIN	KUG.GI
LÍMMU	TAB.TAB
LIMMU2	TAB.TAB
TABIRA	URUDU.NAGAR
TIBIRA	URUDU.NAGAR
ÙMMEDA	URUDU.DA
UMMEDA3	URUDU.DA
GALA	UŠ.KU
SÍSKUR	SISKUR.SISKUR
BÁḪAR	DUG.SÌLA.BUR
BAḪAR2	DUG.SÌLA.BUR
BAḪAR5	DUG.SÌLA.BUR.NA
ABUL	KÁ.GAL
EDIN	AM.SÌLA.BUR
GIBIL6	NE.GI
GÌRA	NE.GI
GIRA3	NE.GI
ÉRIM	NE.RU
ERIM2	NE.RU
GARZA	PA.AN
NUSKA	PA.TÚG
GISSU	GIŠ.MI
GURU21	E.TUM
SIMUG	E.DÉ
ZARAḪ	SAG.PA.LAGAB
KIŠI16	Ú.GÍR
UGA	Ú.TE.TÈ.GA
KUN4	I.LU
NÍR	ZA.GÍN
NIR2	ZA.GÍN
BANŠUR	URU.URUDU
KUN5	TUR.TÚG
ÉN	ŠÚ.AN
EN2	ŠÚ.AN
GUKKAL+KUN	LU.ḪÚL+KUN
PA5	PAB.E
DANNA	KASKAL.BU
ILLAT	KASKAL.KUR
UḪ7	U.GAG
ŠUKUR	IGI.GAG
TIBULA	ŠÀ.A.TAR
NÌTA	MUNUS.UŠ
NITA3	MUNUS.UŠ
DÙR	ANŠE.ARAD
DUR3	ANŠE.ARAD
DÚSU	ANŠE.Ù
DUSU2	ANŠE.Ù
GUNNI	KI.NE
KARAŠ	KI.KAL.BAD
GÁRAŠ	KI.KAL.BAD
GARAŠ2	KI.KAL.BAD
KISLAḪ	KI.UD
SUR7	KI.GAG
BURANUN	UD.KIB.NUN
ZIMBIR	UD.KIB.NUN
È	UD.DU
E3	UD.DU
ZABAR	UD.KA.BAR
GAMUN	DIN.TIR
ARA5	ḪAR.ḪAR
ḪÁ	ḪI.A
ḪA2	ḪI.A
GUDU12	IM.ME
ÀM	A.AN
AM3	A.AN
ÉR	A.IGI
ER2	A.IGI
EŠA	A.TIR
ÍLDAG	A.AM
ILDAG2	A.AM
GUG	ZA.GUL
NÍR	ZA.GÍN
NIR2	ZA.GÍN
ZÁḪ	ḪA.A
ZÁḪ2	ḪA.A
GUN	GÚ.UN
